         time tiltx_bot_... 
 1.873523e+00  2.295035e-02 
 1.873927e+00  2.312445e-02 
 1.874330e+00  2.324788e-02 
 1.874734e+00  2.329815e-02 
 1.875138e+00  2.325613e-02 
 1.875542e+00  2.310602e-02 
 1.875946e+00  2.284186e-02 
 1.876350e+00  2.246761e-02 
 1.876754e+00  2.200493e-02 
 1.877157e+00  2.148387e-02 
 1.877561e+00  2.093361e-02 
 1.877965e+00  2.038593e-02 
 1.878369e+00  1.986886e-02 
 1.878773e+00  1.939541e-02 
 1.879177e+00  1.897641e-02 
 1.879580e+00  1.861110e-02 
 1.879984e+00  1.829674e-02 
 1.880388e+00  1.802700e-02 
 1.880792e+00  1.779747e-02 
 1.881196e+00  1.759617e-02 
 1.881600e+00  1.741762e-02 
 1.882004e+00  1.726419e-02 
 1.882407e+00  1.714013e-02 
 1.882811e+00  1.704560e-02 
 1.883215e+00  1.697975e-02 
 1.883619e+00  1.694544e-02 
 1.884023e+00  1.693787e-02 
 1.884427e+00  1.694021e-02 
 1.884830e+00  1.694099e-02 
 1.885234e+00  1.693912e-02 
 1.885638e+00  1.692599e-02 
 1.886042e+00  1.690114e-02 
 1.886446e+00  1.686935e-02 
 1.886850e+00  1.683627e-02 
 1.887254e+00  1.680885e-02 
 1.887657e+00  1.680143e-02 
 1.888061e+00  1.683128e-02 
 1.888465e+00  1.691173e-02 
 1.888869e+00  1.706420e-02 
 1.889273e+00  1.731388e-02 
 1.889677e+00  1.768583e-02 
 1.890080e+00  1.819311e-02 
 1.890484e+00  1.884543e-02 
 1.890888e+00  1.964090e-02 
 1.891292e+00  2.057355e-02 
 1.891696e+00  2.162772e-02 
 1.892100e+00  2.277978e-02 
 1.892504e+00  2.400448e-02 
 1.892907e+00  2.527252e-02 
 1.893311e+00  2.656216e-02 
 1.893715e+00  2.783622e-02 
 1.894119e+00  2.906520e-02 
 1.894523e+00  3.022807e-02 
 1.894927e+00  3.130747e-02 
 1.895330e+00  3.229127e-02 
 1.895734e+00  3.317296e-02 
 1.896138e+00  3.395485e-02 
 1.896542e+00  3.464271e-02 
 1.896946e+00  3.525252e-02 
 1.897350e+00  3.579957e-02 
 1.897754e+00  3.630747e-02 
 1.898157e+00  3.679365e-02 
 1.898561e+00  3.726593e-02 
 1.898965e+00  3.772849e-02 
 1.899369e+00  3.817908e-02 
 1.899773e+00  3.860210e-02 
 1.900177e+00  3.897259e-02 
 1.900580e+00  3.926782e-02 
 1.900984e+00  3.946510e-02 
 1.901388e+00  3.954265e-02 
 1.901792e+00  3.948874e-02 
 1.902196e+00  3.929711e-02 
 1.902600e+00  3.897040e-02 
 1.903004e+00  3.850925e-02 
 1.903407e+00  3.791642e-02 
 1.903811e+00  3.719434e-02 
 1.904215e+00  3.635036e-02 
 1.904619e+00  3.539108e-02 
 1.905023e+00  3.432449e-02 
 1.905427e+00  3.316064e-02 
 1.905830e+00  3.190801e-02 
 1.906234e+00  3.057162e-02 
 1.906638e+00  2.915570e-02 
 1.907042e+00  2.766712e-02 
 1.907446e+00  2.611506e-02 
 1.907850e+00  2.451688e-02 
 1.908254e+00  2.289116e-02 
 1.908657e+00  2.125976e-02 
 1.909061e+00  1.963965e-02 
 1.909465e+00  1.805300e-02 
 1.909869e+00  1.652338e-02 
 1.910273e+00  1.506362e-02 
 1.910677e+00  1.368213e-02 
 1.911080e+00  1.238405e-02 
 1.911484e+00  1.116716e-02 
 1.911888e+00  1.001893e-02 
 1.912292e+00  8.927081e-03 
 1.912696e+00  7.885774e-03 
 1.913100e+00  6.886045e-03 
 1.913504e+00  5.924719e-03 
 1.913907e+00  4.996489e-03 
 1.914311e+00  4.101091e-03 
 1.914715e+00  3.231153e-03 
 1.915119e+00  2.385559e-03 
 1.915523e+00  1.563818e-03 
 1.915927e+00  7.697723e-04 
 1.916330e+00  1.566359e-05 
 1.916734e+00 -6.796922e-04 
 1.917138e+00 -1.286513e-03 
 1.917542e+00 -1.781313e-03 
 1.917946e+00 -2.144004e-03 
 1.918350e+00 -2.357910e-03 
 1.918754e+00 -2.420421e-03 
 1.919157e+00 -2.333268e-03 
 1.919561e+00 -2.113239e-03 
 1.919965e+00 -1.790982e-03 
 1.920369e+00 -1.399770e-03 
 1.920773e+00 -9.658001e-04 
 1.921177e+00 -5.128084e-04 
 1.921580e+00 -6.419781e-05 
 1.921984e+00  3.664904e-04 
 1.922388e+00  7.652212e-04 
 1.922792e+00  1.123432e-03 
 1.923196e+00  1.435656e-03 
 1.923600e+00  1.702678e-03 
 1.924004e+00  1.928444e-03 
 1.924407e+00  2.113133e-03 
 1.924811e+00  2.253879e-03 
 1.925215e+00  2.348976e-03 
 1.925619e+00  2.401456e-03 
 1.926023e+00  2.407892e-03 
 1.926427e+00  2.363426e-03 
 1.926830e+00  2.262079e-03 
 1.927234e+00  2.105378e-03 
 1.927638e+00  1.887243e-03 
 1.928042e+00  1.602129e-03 
 1.928446e+00  1.252955e-03 
 1.928850e+00  8.437864e-04 
 1.929254e+00  3.813849e-04 
 1.929657e+00 -1.303898e-04 
 1.930061e+00 -6.849520e-04 
 1.930465e+00 -1.268173e-03 
 1.930869e+00 -1.876608e-03 
 1.931273e+00 -2.512282e-03 
 1.931677e+00 -3.173794e-03 
 1.932080e+00 -3.862375e-03 
 1.932484e+00 -4.579033e-03 
 1.932888e+00 -5.315849e-03 
 1.933292e+00 -6.059844e-03 
 1.933696e+00 -6.811789e-03 
 1.934100e+00 -7.566805e-03 
 1.934504e+00 -8.320966e-03 
 1.934907e+00 -9.074553e-03 
 1.935311e+00 -9.823257e-03 
 1.935715e+00 -1.056382e-02 
 1.936119e+00 -1.128667e-02 
 1.936523e+00 -1.196951e-02 
 1.936927e+00 -1.259908e-02 
 1.937330e+00 -1.315004e-02 
 1.937734e+00 -1.360073e-02 
 1.938138e+00 -1.392726e-02 
 1.938542e+00 -1.411339e-02 
 1.938946e+00 -1.415473e-02 
 1.939350e+00 -1.405960e-02 
 1.939754e+00 -1.384255e-02 
 1.940157e+00 -1.351871e-02 
 1.940561e+00 -1.310833e-02 
 1.940965e+00 -1.262881e-02 
 1.941369e+00 -1.209122e-02 
 1.941773e+00 -1.150233e-02 
 1.942177e+00 -1.087321e-02 
 1.942580e+00 -1.020434e-02 
 1.942984e+00 -9.500385e-03 
 1.943388e+00 -8.756808e-03 
 1.943792e+00 -7.976072e-03 
 1.944196e+00 -7.147595e-03 
 1.944600e+00 -6.265366e-03 
 1.945004e+00 -5.326225e-03 
 1.945407e+00 -4.326350e-03 
 1.945811e+00 -3.263388e-03 
 1.946215e+00 -2.131291e-03 
 1.946619e+00 -9.387121e-04 
 1.947023e+00  3.016136e-04 
 1.947427e+00  1.570201e-03 
 1.947830e+00  2.848899e-03 
 1.948234e+00  4.119306e-03 
 1.948638e+00  5.374729e-03 
 1.949042e+00  6.612914e-03 
 1.949446e+00  7.831348e-03 
 1.949850e+00  9.025879e-03 
 1.950254e+00  1.019777e-02 
 1.950657e+00  1.133436e-02 
 1.951061e+00  1.242179e-02 
 1.951465e+00  1.344865e-02 
 1.951869e+00  1.441031e-02 
 1.952273e+00  1.528892e-02 
 1.952677e+00  1.608129e-02 
 1.953080e+00  1.678261e-02 
 1.953484e+00  1.739350e-02 
 1.953888e+00  1.790742e-02 
 1.954292e+00  1.832657e-02 
