         time bulge_top_... 
 2.264769e-01  5.889852e-03 
 2.268807e-01  3.151060e-03 
 2.272846e-01  6.680348e-04 
 2.276884e-01 -7.091378e-04 
 2.280923e-01 -1.534185e-03 
 2.284961e-01 -1.406726e-03 
 2.289000e-01 -8.139775e-04 
 2.293038e-01  3.703545e-04 
 2.297077e-01  2.385931e-03 
 2.301115e-01  4.853818e-03 
 2.305153e-01  6.329519e-03 
 2.309192e-01  6.422339e-03 
 2.313230e-01  5.092648e-03 
 2.317269e-01  2.837452e-03 
 2.321307e-01  8.467455e-05 
 2.325346e-01 -2.226613e-03 
 2.329384e-01 -4.175202e-03 
 2.333423e-01 -5.719239e-03 
 2.337461e-01 -6.724949e-03 
 2.341500e-01 -7.122197e-03 
 2.345538e-01 -6.400691e-03 
 2.349577e-01 -4.974962e-03 
 2.353615e-01 -3.034011e-03 
 2.357653e-01 -4.567656e-04 
 2.361692e-01  3.039193e-03 
 2.365730e-01  7.200543e-03 
 2.369769e-01  1.117999e-02 
 2.373807e-01  1.412225e-02 
 2.377846e-01  1.559372e-02 
 2.381884e-01  1.525079e-02 
 2.385923e-01  1.349457e-02 
 2.389961e-01  1.099305e-02 
 2.394000e-01  7.746052e-03 
 2.398038e-01  4.575662e-03 
 2.402077e-01  1.958584e-03 
 2.406115e-01  1.199134e-04 
 2.410153e-01 -1.171249e-03 
 2.414192e-01 -2.271965e-03 
 2.418230e-01 -3.813351e-03 
 2.422269e-01 -5.310318e-03 
 2.426307e-01 -6.485483e-03 
 2.430346e-01 -6.770764e-03 
 2.434384e-01 -5.827540e-03 
 2.438423e-01 -3.752263e-03 
 2.442461e-01 -4.218409e-04 
 2.446500e-01  3.165022e-03 
 2.450538e-01  6.662179e-03 
 2.454577e-01  9.151428e-03 
 2.458615e-01  1.072365e-02 
 2.462653e-01  1.174626e-02 
 2.466692e-01  1.223825e-02 
 2.470730e-01  1.270400e-02 
 2.474769e-01  1.267161e-02 
 2.478807e-01  1.226516e-02 
 2.482846e-01  1.159500e-02 
 2.486884e-01  1.070294e-02 
 2.490923e-01  1.018015e-02 
 2.494961e-01  9.956424e-03 
 2.499000e-01  1.001235e-02 
 2.503038e-01  1.084326e-02 
