         time Record_Dis... 
 2.013173e-01 -2.363967e-03 
 2.017211e-01 -2.359699e-03 
 2.021250e-01 -2.355396e-03 
 2.025288e-01 -2.351059e-03 
 2.029327e-01 -2.346687e-03 
 2.033365e-01 -2.342284e-03 
 2.037404e-01 -2.337851e-03 
 2.041442e-01 -2.333393e-03 
 2.045480e-01 -2.328914e-03 
 2.049519e-01 -2.324419e-03 
 2.053557e-01 -2.319915e-03 
 2.057596e-01 -2.315409e-03 
 2.061634e-01 -2.310907e-03 
 2.065673e-01 -2.306417e-03 
 2.069711e-01 -2.301948e-03 
 2.073750e-01 -2.297511e-03 
 2.077788e-01 -2.293116e-03 
 2.081827e-01 -2.288772e-03 
 2.085865e-01 -2.284491e-03 
 2.089904e-01 -2.280281e-03 
 2.093942e-01 -2.276154e-03 
 2.097980e-01 -2.272117e-03 
 2.102019e-01 -2.268180e-03 
 2.106057e-01 -2.264348e-03 
 2.110096e-01 -2.260627e-03 
 2.114134e-01 -2.257024e-03 
 2.118173e-01 -2.253542e-03 
 2.122211e-01 -2.250185e-03 
 2.126250e-01 -2.246954e-03 
 2.130288e-01 -2.243851e-03 
 2.134327e-01 -2.240874e-03 
 2.138365e-01 -2.238023e-03 
 2.142403e-01 -2.235292e-03 
 2.146442e-01 -2.232676e-03 
 2.150480e-01 -2.230168e-03 
 2.154519e-01 -2.227760e-03 
 2.158557e-01 -2.225440e-03 
 2.162596e-01 -2.223200e-03 
 2.166634e-01 -2.221028e-03 
 2.170673e-01 -2.218914e-03 
 2.174711e-01 -2.216847e-03 
 2.178750e-01 -2.214818e-03 
 2.182788e-01 -2.212815e-03 
 2.186827e-01 -2.210830e-03 
 2.190865e-01 -2.208854e-03 
 2.194903e-01 -2.206877e-03 
 2.198942e-01 -2.204894e-03 
 2.202980e-01 -2.202900e-03 
 2.207019e-01 -2.200892e-03 
 2.211057e-01 -2.198870e-03 
 2.215096e-01 -2.196835e-03 
 2.219134e-01 -2.194794e-03 
 2.223173e-01 -2.192753e-03 
 2.227211e-01 -2.190723e-03 
 2.231250e-01 -2.188712e-03 
 2.235288e-01 -2.186733e-03 
 2.239327e-01 -2.184799e-03 
 2.243365e-01 -2.182923e-03 
 2.247403e-01 -2.181120e-03 
 2.251442e-01 -2.179404e-03 
 2.255480e-01 -2.177789e-03 
 2.259519e-01 -2.176290e-03 
 2.263557e-01 -2.174919e-03 
 2.267596e-01 -2.173690e-03 
 2.271634e-01 -2.172612e-03 
 2.275673e-01 -2.171694e-03 
 2.279711e-01 -2.170942e-03 
 2.283750e-01 -2.170360e-03 
 2.287788e-01 -2.169948e-03 
 2.291827e-01 -2.169706e-03 
 2.295865e-01 -2.169629e-03 
 2.299903e-01 -2.169711e-03 
 2.303942e-01 -2.169943e-03 
 2.307980e-01 -2.170317e-03 
 2.312019e-01 -2.170820e-03 
 2.316057e-01 -2.171442e-03 
 2.320096e-01 -2.172169e-03 
 2.324134e-01 -2.172986e-03 
 2.328173e-01 -2.173880e-03 
 2.332211e-01 -2.174836e-03 
 2.336250e-01 -2.175841e-03 
 2.340288e-01 -2.176880e-03 
 2.344327e-01 -2.177943e-03 
 2.348365e-01 -2.179019e-03 
 2.352403e-01 -2.180102e-03 
 2.356442e-01 -2.181184e-03 
 2.360480e-01 -2.182262e-03 
 2.364519e-01 -2.183334e-03 
 2.368557e-01 -2.184402e-03 
 2.372596e-01 -2.185466e-03 
