         time Mid_Disp()... 
 1.845745e-01  5.780906e-04 
 1.848926e-01  5.589439e-04 
 1.852107e-01  5.396448e-04 
 1.855287e-01  5.201909e-04 
 1.858468e-01  5.005806e-04 
 1.861649e-01  4.808173e-04 
 1.864829e-01  4.609130e-04 
 1.868010e-01  4.408798e-04 
 1.871191e-01  4.207298e-04 
 1.874372e-01  4.004578e-04 
 1.877552e-01  3.800636e-04 
 1.880733e-01  3.595553e-04 
 1.883914e-01  3.389460e-04 
 1.887094e-01  3.182464e-04 
 1.890275e-01  2.974696e-04 
 1.893456e-01  2.766245e-04 
 1.896636e-01  2.557117e-04 
 1.899817e-01  2.347324e-04 
 1.902998e-01  2.137028e-04 
 1.906178e-01  1.926393e-04 
 1.909359e-01  1.715530e-04 
 1.912540e-01  1.504523e-04 
 1.915720e-01  1.293523e-04 
 1.918901e-01  1.082691e-04 
 1.922082e-01  8.722873e-05 
 1.925262e-01  6.625687e-05 
 1.928443e-01  4.537417e-05 
 1.931624e-01  2.459667e-05 
 1.934804e-01  3.932255e-06 
 1.937985e-01 -1.661591e-05 
 1.941166e-01 -3.703235e-05 
 1.944346e-01 -5.729532e-05 
 1.947527e-01 -7.737871e-05 
 1.950708e-01 -9.726401e-05 
 1.953888e-01 -1.169421e-04 
 1.957069e-01 -1.364124e-04 
 1.960250e-01 -1.556617e-04 
 1.963430e-01 -1.746720e-04 
 1.966611e-01 -1.934288e-04 
 1.969792e-01 -2.119185e-04 
 1.972972e-01 -2.301334e-04 
 1.976153e-01 -2.480667e-04 
 1.979334e-01 -2.656997e-04 
 1.982514e-01 -2.830132e-04 
 1.985695e-01 -2.999925e-04 
 1.988876e-01 -3.166233e-04 
 1.992056e-01 -3.328930e-04 
 1.995237e-01 -3.487974e-04 
 1.998418e-01 -3.643325e-04 
 2.001598e-01 -3.794803e-04 
 2.004779e-01 -3.942225e-04 
 2.007960e-01 -4.085467e-04 
 2.011141e-01 -4.224451e-04 
 2.014321e-01 -4.359071e-04 
 2.017502e-01 -4.489286e-04 
 2.020683e-01 -4.615058e-04 
 2.023863e-01 -4.736299e-04 
 2.027044e-01 -4.852991e-04 
 2.030225e-01 -4.965144e-04 
 2.033405e-01 -5.072805e-04 
 2.036586e-01 -5.175950e-04 
 2.039767e-01 -5.274559e-04 
 2.042947e-01 -5.368516e-04 
 2.046128e-01 -5.457735e-04 
 2.049309e-01 -5.542281e-04 
 2.052489e-01 -5.622235e-04 
 2.055670e-01 -5.697719e-04 
 2.058851e-01 -5.768752e-04 
 2.062031e-01 -5.835269e-04 
 2.065212e-01 -5.897250e-04 
 2.068393e-01 -5.954712e-04 
 2.071573e-01 -6.007685e-04 
 2.074754e-01 -6.056245e-04 
 2.077935e-01 -6.100380e-04 
 2.081115e-01 -6.140075e-04 
 2.084296e-01 -6.175387e-04 
 2.087477e-01 -6.206387e-04 
 2.090657e-01 -6.233144e-04 
 2.093838e-01 -6.255710e-04 
 2.097019e-01 -6.274135e-04 
 2.100199e-01 -6.288385e-04 
 2.103380e-01 -6.298344e-04 
 2.106561e-01 -6.304023e-04 
 2.109741e-01 -6.305501e-04 
 2.112922e-01 -6.302861e-04 
 2.116103e-01 -6.296199e-04 
 2.119283e-01 -6.285582e-04 
 2.122464e-01 -6.271038e-04 
 2.125645e-01 -6.252584e-04 
 2.128825e-01 -6.230344e-04 
 2.132006e-01 -6.204446e-04 
 2.135187e-01 -6.174900e-04 
 2.138367e-01 -6.141721e-04 
 2.141548e-01 -6.104901e-04 
 2.144729e-01 -6.064433e-04 
 2.147910e-01 -6.020403e-04 
 2.151090e-01 -5.972933e-04 
 2.154271e-01 -5.922120e-04 
 2.157452e-01 -5.867955e-04 
 2.160632e-01 -5.810394e-04 
 2.163813e-01 -5.749414e-04 
 2.166994e-01 -5.685070e-04 
 2.170174e-01 -5.617439e-04 
 2.173355e-01 -5.546585e-04 
 2.176536e-01 -5.472499e-04 
 2.179716e-01 -5.395166e-04 
 2.182897e-01 -5.314588e-04 
 2.186078e-01 -5.230776e-04 
 2.189258e-01 -5.143742e-04 
 2.192439e-01 -5.053460e-04 
 2.195620e-01 -4.959918e-04 
 2.198800e-01 -4.863043e-04 
