Velocity, Vel [m/s]
2.31640000,-0.2256731984031129
2.32030000,-0.2284059876926605
2.32420000,-0.2307955790680178
2.32810000,-0.2324551072795307
2.33210000,-0.2330212125785647
2.33600000,-0.2322006426787030
2.33990000,-0.2298444150083122
2.34380000,-0.2259566870298270
2.34770000,-0.2206742427354394
2.35160000,-0.2142422689405288
2.35550000,-0.2069621228398283
2.35940000,-0.1991378482701376
2.36330000,-0.1910176826417312
2.36720000,-0.1827657271402423
2.37110000,-0.1744294452461166
2.37500000,-0.1660029892347570
2.37890000,-0.1574601164992529
2.38280000,-0.1488022251193160
2.38670000,-0.1401895000262089
2.39060000,-0.1316726359784657
2.39460000,-0.1233984616623487
2.39850000,-0.1157990252188670
2.40240000,-0.1089904396907035
2.40630000,-0.1029820807197209
2.41020000,-0.0979128696963248
2.41410000,-0.0937988073001350
2.41800000,-0.0906428291982336
2.42190000,-0.0884264210182055
2.42580000,-0.0870760919761062
2.42970000,-0.0864859393150238
2.43360000,-0.0864956312875078
2.43750000,-0.0869253095349797
2.44140000,-0.0876001281970803
2.44530000,-0.0883685550076711
2.44920000,-0.0891038370909972
2.45310000,-0.0897143964562192
2.45710000,-0.0901631998769887
2.46100000,-0.0904947370125377
2.46490000,-0.0908674630775902
2.46880000,-0.0915322747771089
2.47270000,-0.0927808527663765
2.47660000,-0.0948886811750166
2.48050000,-0.0980415642846589
2.48440000,-0.1022675548650292
2.48830000,-0.1073949408439065
2.49220000,-0.1130666723857445
2.49610000,-0.1187973561727670
2.50000000,-0.1240644568720118
2.50390000,-0.1283797531216669
2.50780000,-0.1313498476556044
2.51170000,-0.1327485126763146
2.51560000,-0.1324808796633367
2.51960000,-0.1306443284858652
2.52350000,-0.1275523491033501
2.52740000,-0.1235324444493184
2.53130000,-0.1189166041679883
2.53520000,-0.1140565932787665
2.53910000,-0.1092426359252916
2.54300000,-0.1047247450555852
2.54690000,-0.1007051845977002
2.55080000,-0.0973263185776727
2.55470000,-0.0946806255634394
2.55860000,-0.0927978056462224
2.56250000,-0.0916390377686720
2.56640000,-0.0910717022568972
2.57030000,-0.0908627374903989
2.57420000,-0.0907190904834696
2.57810000,-0.0902909267903950
2.58210000,-0.0892438594039861
2.58600000,-0.0872986405153840
2.58990000,-0.0841291361047372
2.59380000,-0.0794018179064629
2.59770000,-0.0728560245127964
2.60160000,-0.0643287922309828
2.60550000,-0.0538335677274775
2.60940000,-0.0415988730497091
2.61330000,-0.0280698980673566
2.61720000,-0.0138880827326917
2.62110000,0.0002003056039024
2.62500000,0.0134374746764289
2.62890000,0.0251805580322555
2.63280000,0.0349883882459706
2.63670000,0.0426107823820049
2.64060000,0.0481006308116355
2.64460000,0.0516702115086533
2.64850000,0.0535336731560826
2.65240000,0.0540946768080945
2.65630000,0.0537624094575925
2.66020000,0.0527696441463707
2.66410000,0.0512570572332754
2.66800000,0.0492475287597677
2.67190000,0.0467190643075044
2.67580000,0.0437051494141940
2.67970000,0.0403380953587574
2.68360000,0.0369034045730710
2.68750000,0.0337978885447255
2.69140000,0.0315006423630232
2.69530000,0.0305123189055028
2.69920000,0.0312198134282227
2.70310000,0.0339989582939019
2.70710000,0.0390262042892108
2.71100000,0.0461181081084366
2.71490000,0.0550803071019311
2.71880000,0.0655747834373249
2.72270000,0.0770052863177269
2.72660000,0.0887509112526303
2.73050000,0.1002032335689437
2.73440000,0.1108745894992604
2.73830000,0.1204803495690985
2.74220000,0.1289176538644661
2.74610000,0.1362425422546981
2.75000000,0.1425793837884755
2.75390000,0.1480651922248145
2.75780000,0.1528052249874082
2.76170000,0.1568205331824805
2.76560000,0.1601531737879664
2.76960000,0.1628221837011544
2.77350000,0.1647890007232606
2.77740000,0.1661803884716960
2.78130000,0.1672206361244632
2.78520000,0.1681442520084139
2.78910000,0.1692718565547105
2.79300000,0.1709480157241968
2.79690000,0.1734978590015686
2.80080000,0.1771775393462917
2.80470000,0.1820947436962859
2.80860000,0.1881914562902542
2.81250000,0.1952079074308433
2.81640000,0.2027254553231637
