         time tiltx_up_s... 
 2.451346e-01 -3.103224e-02 
 2.455384e-01 -3.035506e-02 
 2.459423e-01 -2.949245e-02 
 2.463461e-01 -2.842836e-02 
 2.467500e-01 -2.715785e-02 
 2.471538e-01 -2.569623e-02 
 2.475577e-01 -2.405072e-02 
 2.479615e-01 -2.223966e-02 
 2.483653e-01 -2.024791e-02 
 2.487692e-01 -1.809085e-02 
 2.491730e-01 -1.577699e-02 
 2.495769e-01 -1.333520e-02 
 2.499807e-01 -1.079706e-02 
 2.503846e-01 -8.210491e-03 
 2.507884e-01 -5.599270e-03 
 2.511923e-01 -3.016926e-03 
 2.515961e-01 -4.672421e-04 
 2.520000e-01  2.041645e-03 
 2.524038e-01  4.529324e-03 
 2.528077e-01  7.005139e-03 
 2.532115e-01  9.463105e-03 
 2.536153e-01  1.185282e-02 
 2.540192e-01  1.417550e-02 
 2.544230e-01  1.642993e-02 
 2.548269e-01  1.859343e-02 
 2.552307e-01  2.070377e-02 
 2.556346e-01  2.274887e-02 
 2.560384e-01  2.470904e-02 
 2.564423e-01  2.660883e-02 
 2.568461e-01  2.843228e-02 
 2.572500e-01  3.016239e-02 
 2.576538e-01  3.178804e-02 
 2.580576e-01  3.329876e-02 
 2.584615e-01  3.466595e-02 
 2.588653e-01  3.591076e-02 
 2.592692e-01  3.701217e-02 
 2.596730e-01  3.799049e-02 
 2.600769e-01  3.886021e-02 
 2.604807e-01  3.959647e-02 
 2.608846e-01  4.018357e-02 
 2.612884e-01  4.059774e-02 
 2.616923e-01  4.081856e-02 
 2.620961e-01  4.086992e-02 
 2.625000e-01  4.074497e-02 
 2.629038e-01  4.047462e-02 
 2.633076e-01  4.010126e-02 
 2.637115e-01  3.959752e-02 
 2.641153e-01  3.895253e-02 
 2.645192e-01  3.816731e-02 
 2.649230e-01  3.723793e-02 
 2.653269e-01  3.618896e-02 
 2.657307e-01  3.505426e-02 
 2.661346e-01  3.385271e-02 
 2.665384e-01  3.260577e-02 
 2.669423e-01  3.130832e-02 
 2.673461e-01  2.997044e-02 
 2.677500e-01  2.862743e-02 
 2.681538e-01  2.726112e-02 
 2.685576e-01  2.588439e-02 
 2.689615e-01  2.449467e-02 
 2.693653e-01  2.309783e-02 
 2.697692e-01  2.169250e-02 
 2.701730e-01  2.027291e-02 
 2.705769e-01  1.884542e-02 
 2.709807e-01  1.743531e-02 
 2.713846e-01  1.602956e-02 
 2.717884e-01  1.463451e-02 
 2.721923e-01  1.324748e-02 
 2.725961e-01  1.186994e-02 
 2.730000e-01  1.052669e-02 
 2.734038e-01  9.259909e-03 
 2.738076e-01  8.077177e-03 
 2.742115e-01  7.013144e-03 
 2.746153e-01  6.059507e-03 
 2.750192e-01  5.192669e-03 
 2.754230e-01  4.401074e-03 
 2.758269e-01  3.664378e-03 
 2.762307e-01  2.974477e-03 
 2.766346e-01  2.335835e-03 
 2.770384e-01  1.763405e-03 
 2.774423e-01  1.255784e-03 
 2.778461e-01  8.108798e-04 
 2.782500e-01  4.181935e-04 
 2.786538e-01  6.600702e-05 
 2.790576e-01 -2.634952e-04 
 2.794615e-01 -5.796104e-04 
 2.798653e-01 -9.055095e-04 
 2.802692e-01 -1.235090e-03 
 2.806730e-01 -1.557131e-03 
 2.810769e-01 -1.881102e-03 
 2.814807e-01 -2.189201e-03 
 2.818846e-01 -2.467264e-03 
 2.822884e-01 -2.722183e-03 
 2.826923e-01 -2.946475e-03 
 2.830961e-01 -3.166045e-03 
 2.835000e-01 -3.384104e-03 
 2.839038e-01 -3.598209e-03 
 2.843076e-01 -3.798068e-03 
 2.847115e-01 -3.947359e-03 
 2.851153e-01 -4.055645e-03 
 2.855192e-01 -4.130068e-03 
 2.859230e-01 -4.180475e-03 
 2.863269e-01 -4.220163e-03 
 2.867307e-01 -4.258362e-03 
 2.871346e-01 -4.284296e-03 
 2.875384e-01 -4.291255e-03 
 2.879423e-01 -4.273632e-03 
 2.883461e-01 -4.243425e-03 
 2.887500e-01 -4.221660e-03 
 2.891538e-01 -4.212146e-03 
 2.895576e-01 -4.243381e-03 
 2.899615e-01 -4.323571e-03 
 2.903653e-01 -4.458346e-03 
 2.907692e-01 -4.636858e-03 
 2.911730e-01 -4.863404e-03 
 2.915769e-01 -5.149219e-03 
 2.919807e-01 -5.480700e-03 
 2.923846e-01 -5.878936e-03 
 2.927884e-01 -6.349708e-03 
 2.931923e-01 -6.886749e-03 
 2.935961e-01 -7.485068e-03 
 2.940000e-01 -8.126034e-03 
 2.944038e-01 -8.819238e-03 
 2.948076e-01 -9.559646e-03 
 2.952115e-01 -1.032568e-02 
 2.956153e-01 -1.109880e-02 
 2.960192e-01 -1.186154e-02 
 2.964230e-01 -1.261160e-02 
 2.968269e-01 -1.335768e-02 
 2.972307e-01 -1.410218e-02 
 2.976346e-01 -1.484372e-02 
 2.980384e-01 -1.557150e-02 
 2.984423e-01 -1.623738e-02 
 2.988461e-01 -1.682434e-02 
 2.992500e-01 -1.732815e-02 
 2.996538e-01 -1.772457e-02 
 3.000576e-01 -1.801682e-02 
 3.004615e-01 -1.820788e-02 
 3.008653e-01 -1.829998e-02 
 3.012692e-01 -1.828682e-02 
 3.016730e-01 -1.814119e-02 
 3.020769e-01 -1.785727e-02 
 3.024807e-01 -1.744444e-02 
 3.028846e-01 -1.690161e-02 
