         time tiltx_low_... 
 1.906154e-01  9.424992e-02 
 1.910192e-01  9.563718e-02 
 1.914230e-01  9.681456e-02 
 1.918269e-01  9.780426e-02 
 1.922307e-01  9.859347e-02 
 1.926346e-01  9.921476e-02 
 1.930384e-01  9.969058e-02 
 1.934423e-01  1.000427e-01 
 1.938461e-01  1.002991e-01 
 1.942500e-01  1.004897e-01 
 1.946538e-01  1.006556e-01 
 1.950577e-01  1.008245e-01 
 1.954615e-01  1.009854e-01 
 1.958654e-01  1.011396e-01 
 1.962692e-01  1.012473e-01 
 1.966730e-01  1.013016e-01 
 1.970769e-01  1.013051e-01 
 1.974807e-01  1.012512e-01 
 1.978846e-01  1.011320e-01 
 1.982884e-01  1.009624e-01 
 1.986923e-01  1.007600e-01 
 1.990961e-01  1.005460e-01 
 1.995000e-01  1.003211e-01 
 1.999038e-01  1.000672e-01 
 2.003077e-01  9.976094e-02 
 2.007115e-01  9.942803e-02 
 2.011154e-01  9.905289e-02 
 2.015192e-01  9.866819e-02 
 2.019230e-01  9.826654e-02 
 2.023269e-01  9.787859e-02 
 2.027307e-01  9.749974e-02 
 2.031346e-01  9.718261e-02 
 2.035384e-01  9.698107e-02 
 2.039423e-01  9.692608e-02 
 2.043461e-01  9.702617e-02 
 2.047500e-01  9.729477e-02 
 2.051538e-01  9.771169e-02 
 2.055577e-01  9.829424e-02 
 2.059615e-01  9.901905e-02 
 2.063654e-01  9.985028e-02 
 2.067692e-01  1.007721e-01 
 2.071730e-01  1.017461e-01 
 2.075769e-01  1.027503e-01 
 2.079807e-01  1.037540e-01 
 2.083846e-01  1.047554e-01 
 2.087884e-01  1.057373e-01 
 2.091923e-01  1.067133e-01 
 2.095961e-01  1.076611e-01 
 2.100000e-01  1.085884e-01 
 2.104038e-01  1.094602e-01 
 2.108077e-01  1.102755e-01 
 2.112115e-01  1.110125e-01 
 2.116153e-01  1.116690e-01 
 2.120192e-01  1.122367e-01 
 2.124230e-01  1.127257e-01 
 2.128269e-01  1.131225e-01 
 2.132307e-01  1.134431e-01 
 2.136346e-01  1.136856e-01 
 2.140384e-01  1.138543e-01 
 2.144423e-01  1.139881e-01 
 2.148461e-01  1.140332e-01 
 2.152500e-01  1.139716e-01 
 2.156538e-01  1.137688e-01 
 2.160577e-01  1.133861e-01 
 2.164615e-01  1.128113e-01 
 2.168653e-01  1.120125e-01 
 2.172692e-01  1.109635e-01 
 2.176730e-01  1.096256e-01 
 2.180769e-01  1.080121e-01 
 2.184807e-01  1.061533e-01 
 2.188846e-01  1.040697e-01 
 2.192884e-01  1.018074e-01 
 2.196923e-01  9.941609e-02 
 2.200961e-01  9.692931e-02 
 2.205000e-01  9.436386e-02 
 2.209038e-01  9.174606e-02 
