time;sensor1 tvalx;sensor1 tminx;sensor1 tmaxx;sensor1 tvaly;sensor1 tminy;sensor1 tmaxy;sensor1 avalx1;sensor1 aminx1;sensor1 amaxx1;sensor1 avaly1;sensor1 aminy1;sensor1 amaxy1;sensor1 avalz1;sensor1 aminz1;sensor1 amaxz1;sensor1 avalx2;sensor1 aminx2;sensor1 amaxx2;sensor1 avaly2;sensor1 aminy2;sensor1 amaxy2;sensor1 avalz2;sensor1 aminz2;sensor1 amaxz2
04-01-2021_12:12:10;-15,0;-21,0;-12,0;-70,0;-83,0;-61,0;217,0;-181,0;558,0;330,0;88,0;596,0;16615,0;16177,0;17080,0;-14,0;-374,0;233,0;420,0;278,0;567,0;16590,0;16341,0;16857,0
04-01-2021_12:12:15;-15,0;-20,0;-12,0;-72,0;-87,0;-56,0;214,0;-114,0;560,0;329,0;86,0;582,0;16612,0;16226,0;17111,0;-17,0;-282,0;240,0;418,0;288,0;572,0;16594,0;16334,0;16908,0
04-01-2021_12:12:20;-15,0;-20,0;-12,0;-72,0;-86,0;-57,0;211,0;-184,0;570,0;330,0;106,0;531,0;16616,0;16158,0;17093,0;-11,0;-266,0;230,0;420,0;268,0;567,0;16590,0;16353,0;16905,0
04-01-2021_12:12:25;-16,0;-20,0;-11,0;-75,0;-91,0;-61,0;218,0;-160,0;565,0;331,0;83,0;596,0;16620,0;16108,0;17170,0;-13,0;-280,0;224,0;419,0;285,0;553,0;16593,0;16271,0;16904,0
04-01-2021_12:12:30;-15,0;-21,0;-9,0;-77,0;-94,0;-64,0;212,0;-149,0;543,0;334,0;110,0;544,0;16618,0;16230,0;17104,0;-7,0;-318,0;239,0;419,0;270,0;544,0;16588,0;16324,0;16913,0
04-01-2021_12:12:35;-16,0;-22,0;-11,0;-78,0;-91,0;-65,0;218,0;-111,0;561,0;330,0;76,0;564,0;16611,0;16130,0;17129,0;-12,0;-290,0;244,0;418,0;278,0;587,0;16593,0;16308,0;16908,0
04-01-2021_12:12:40;-16,0;-22,0;-12,0;-80,0;-92,0;-67,0;213,0;-133,0;547,0;331,0;132,0;567,0;16610,0;16143,0;17147,0;-10,0;-298,0;213,0;417,0;265,0;552,0;16589,0;16324,0;16937,0
04-01-2021_12:12:45;-16,0;-20,0;-12,0;-81,0;-97,0;-70,0;215,0;-132,0;567,0;333,0;52,0;565,0;16615,0;16141,0;17094,0;-16,0;-307,0;275,0;419,0;266,0;563,0;16591,0;16293,0;16886,0
04-01-2021_12:12:50;-16,0;-21,0;-11,0;-82,0;-92,0;-72,0;211,0;-203,0;548,0;330,0;40,0;548,0;16608,0;16169,0;17039,0;-11,0;-274,0;236,0;419,0;272,0;560,0;16592,0;16319,0;16925,0
04-01-2021_12:12:55;-16,0;-25,0;-6,0;-84,0;-97,0;-73,0;212,0;-129,0;595,0;328,0;87,0;531,0;16617,0;16216,0;17058,0;-10,0;-287,0;287,0;420,0;272,0;571,0;16592,0;16289,0;16897,0
04-01-2021_12:13:00;-16,0;-33,0;-3,0;-85,0;-98,0;-72,0;212,0;-159,0;527,0;330,0;99,0;573,0;16616,0;16161,0;17131,0;-11,0;-271,0;228,0;418,0;237,0;553,0;16594,0;16336,0;16865,0
04-01-2021_12:13:05;-16,0;-23,0;-10,0;-86,0;-107,0;-67,0;213,0;-116,0;558,0;330,0;75,0;583,0;16618,0;16119,0;17131,0;-11,0;-315,0;239,0;417,0;246,0;558,0;16592,0;16331,0;16869,0
04-01-2021_12:13:10;-16,0;-22,0;-13,0;-87,0;-101,0;-74,0;217,0;-145,0;548,0;330,0;72,0;576,0;16613,0;16155,0;17139,0;-10,0;-268,0;241,0;418,0;273,0;564,0;16592,0;16296,0;16913,0
04-01-2021_12:13:15;-16,0;-21,0;-12,0;-88,0;-101,0;-77,0;217,0;-93,0;550,0;329,0;101,0;553,0;16613,0;16108,0;17142,0;-12,0;-274,0;260,0;416,0;266,0;555,0;16593,0;16320,0;16911,0
04-01-2021_12:13:20;-17,0;-28,0;-10,0;-89,0;-101,0;-79,0;218,0;-219,0;556,0;332,0;99,0;595,0;16615,0;16244,0;17082,0;-9,0;-311,0;234,0;417,0;261,0;576,0;16588,0;16356,0;16864,0
04-01-2021_12:13:25;-17,0;-24,0;-7,0;-90,0;-108,0;-74,0;210,0;-194,0;548,0;330,0;103,0;576,0;16617,0;16180,0;17144,0;-13,0;-280,0;283,0;416,0;278,0;561,0;16593,0;16332,0;16903,0
04-01-2021_12:13:30;-17,0;-23,0;-11,0;-92,0;-107,0;-81,0;218,0;-153,0;559,0;327,0;88,0;533,0;16614,0;16135,0;17074,0;-7,0;-268,0;236,0;415,0;283,0;567,0;16589,0;16324,0;16915,0
04-01-2021_12:13:35;-17,0;-23,0;-10,0;-93,0;-107,0;-75,0;217,0;-141,0;580,0;330,0;95,0;590,0;16614,0;16210,0;17090,0;-18,0;-301,0;221,0;416,0;278,0;583,0;16591,0;16287,0;16855,0
04-01-2021_12:13:40;-16,0;-27,0;-10,0;-103,0;-279,0;-59,0;213,0;-126,0;560,0;330,0;100,0;532,0;16615,0;16097,0;17136,0;-10,0;-238,0;233,0;416,0;265,0;561,0;16592,0;16346,0;16882,0
04-01-2021_12:13:45;-17,0;-177,0;177,0;-6,0;-11449,0;13390,0;208,0;-426,0;659,0;332,0;-3184,0;2784,0;16615,0;15086,0;17912,0;-13,0;-466,0;453,0;418,0;-2903,0;2765,0;16593,0;15600,0;17773,0
04-01-2021_12:13:50;-13,0;-51,0;17,0;-71,0;-1466,0;1800,0;214,0;-119,0;593,0;331,0;-577,0;1174,0;16614,0;15954,0;17364,0;-16,0;-304,0;243,0;414,0;-462,0;1236,0;16593,0;16098,0;17115,0
04-01-2021_12:13:55;-13,0;-24,0;0,0;-17,0;-569,0;431,0;223,0;-116,0;591,0;329,0;-73,0;684,0;16616,0;16119,0;17087,0;-16,0;-317,0;239,0;416,0;103,0;748,0;16588,0;16297,0;16911,0
04-01-2021_12:14:00;-14,0;-20,0;-7,0;-57,0;-455,0;215,0;213,0;-138,0;564,0;329,0;71,0;566,0;16618,0;16181,0;17108,0;-10,0;-281,0;250,0;416,0;283,0;557,0;16592,0;16302,0;16939,0
04-01-2021_12:14:05;-15,0;-20,0;-11,0;-41,0;-59,0;-33,0;207,0;-191,0;552,0;327,0;96,0;568,0;16615,0;16179,0;17107,0;-11,0;-301,0;231,0;418,0;263,0;554,0;16595,0;16382,0;16874,0
04-01-2021_12:14:10;-15,0;-26,0;-6,0;-41,0;-58,0;-29,0;211,0;-176,0;551,0;327,0;109,0;586,0;16610,0;16127,0;17106,0;-13,0;-269,0;234,0;418,0;244,0;573,0;16596,0;16337,0;16948,0
04-01-2021_12:14:15;-15,0;-22,0;-10,0;-43,0;-55,0;-31,0;213,0;-119,0;552,0;331,0;86,0;553,0;16615,0;16086,0;17033,0;-11,0;-301,0;269,0;418,0;268,0;558,0;16592,0;16313,0;16877,0
04-01-2021_12:14:20;-15,0;-23,0;-8,0;-43,0;-59,0;-27,0;214,0;-153,0;550,0;329,0;77,0;528,0;16616,0;16159,0;17162,0;-11,0;-287,0;239,0;415,0;279,0;586,0;16592,0;16320,0;16844,0
04-01-2021_12:14:25;-15,0;-21,0;-10,0;-44,0;-59,0;-32,0;216,0;-136,0;548,0;331,0;102,0;561,0;16619,0;16218,0;17105,0;-10,0;-252,0;240,0;417,0;280,0;562,0;16594,0;16363,0;16853,0
04-01-2021_12:14:30;-15,0;-21,0;-10,0;-46,0;-59,0;-36,0;213,0;-124,0;540,0;331,0;88,0;540,0;16620,0;16136,0;17123,0;-11,0;-272,0;217,0;415,0;264,0;556,0;16595,0;16340,0;16874,0
04-01-2021_12:14:35;-15,0;-26,0;-5,0;-46,0;-61,0;-35,0;214,0;-215,0;548,0;335,0;58,0;549,0;16615,0;16136,0;17103,0;-14,0;-278,0;238,0;417,0;256,0;555,0;16593,0;16334,0;16978,0
04-01-2021_12:14:40;-16,0;-23,0;-9,0;-48,0;-61,0;-32,0;211,0;-169,0;555,0;330,0;116,0;549,0;16613,0;16216,0;17142,0;-14,0;-312,0;259,0;416,0;237,0;569,0;16593,0;16251,0;16920,0
04-01-2021_12:14:45;-15,0;-21,0;-11,0;-48,0;-60,0;-36,0;217,0;-109,0;546,0;335,0;98,0;590,0;16620,0;16180,0;17102,0;-14,0;-271,0;257,0;416,0;271,0;556,0;16594,0;16355,0;16895,0
04-01-2021_12:14:50;-16,0;-22,0;-12,0;-49,0;-63,0;-40,0;215,0;-139,0;585,0;332,0;86,0;553,0;16617,0;16226,0;17133,0;-12,0;-289,0;238,0;418,0;280,0;546,0;16599,0;16293,0;16901,0
04-01-2021_12:14:55;-16,0;-24,0;-9,0;-51,0;-66,0;-37,0;214,0;-142,0;580,0;333,0;80,0;554,0;16613,0;16210,0;17120,0;-9,0;-267,0;226,0;418,0;284,0;553,0;16597,0;16287,0;16882,0
04-01-2021_12:15:00;-16,0;-21,0;-9,0;-52,0;-66,0;-39,0;217,0;-227,0;576,0;331,0;88,0;528,0;16615,0;16171,0;17050,0;-10,0;-314,0;223,0;417,0;269,0;552,0;16593,0;16316,0;16892,0
04-01-2021_12:15:05;-16,0;-23,0;-12,0;-53,0;-68,0;-40,0;214,0;-177,0;561,0;333,0;109,0;547,0;16614,0;16153,0;17107,0;-15,0;-263,0;273,0;417,0;277,0;559,0;16591,0;16318,0;16911,0
04-01-2021_12:15:10;-16,0;-24,0;-9,0;-55,0;-68,0;-40,0;215,0;-150,0;552,0;331,0;76,0;533,0;16617,0;16199,0;17144,0;-12,0;-256,0;229,0;418,0;259,0;562,0;16594,0;16324,0;16918,0
04-01-2021_12:15:15;-16,0;-22,0;-13,0;-56,0;-68,0;-44,0;214,0;-169,0;551,0;330,0;47,0;573,0;16614,0;16065,0;17129,0;-12,0;-305,0;224,0;419,0;277,0;547,0;16593,0;16314,0;16896,0
04-01-2021_12:15:20;-16,0;-29,0;-8,0;-57,0;-70,0;-46,0;209,0;-143,0;546,0;333,0;84,0;560,0;16614,0;16045,0;17061,0;-12,0;-251,0;247,0;418,0;281,0;571,0;16591,0;16329,0;16908,0
04-01-2021_12:15:25;-16,0;-22,0;-11,0;-58,0;-74,0;-43,0;217,0;-163,0;550,0;330,0;95,0;575,0;16616,0;16166,0;17083,0;-12,0;-269,0;275,0;419,0;278,0;559,0;16593,0;16252,0;16879,0
04-01-2021_12:15:30;-17,0;-24,0;-10,0;-59,0;-71,0;-45,0;211,0;-146,0;578,0;332,0;100,0;540,0;16618,0;16196,0;17146,0;-13,0;-269,0;255,0;418,0;249,0;558,0;16596,0;16339,0;16914,0
