         time tiltx_low_... 
 7.919422e-01 -2.299507e-02 
 7.923460e-01 -2.379231e-02 
 7.927499e-01 -2.436940e-02 
 7.931537e-01 -2.477598e-02 
 7.935576e-01 -2.502378e-02 
 7.939614e-01 -2.512529e-02 
 7.943653e-01 -2.503597e-02 
 7.947691e-01 -2.473183e-02 
 7.951729e-01 -2.419677e-02 
 7.955768e-01 -2.341768e-02 
 7.959806e-01 -2.237851e-02 
 7.963845e-01 -2.107132e-02 
 7.967883e-01 -1.945029e-02 
 7.971922e-01 -1.745540e-02 
 7.975960e-01 -1.507882e-02 
 7.979999e-01 -1.229365e-02 
 7.984037e-01 -9.065993e-03 
 7.988076e-01 -5.409012e-03 
 7.992114e-01 -1.332864e-03 
 7.996153e-01  3.139502e-03 
 8.000191e-01  7.964091e-03 
 8.004229e-01  1.305159e-02 
 8.008268e-01  1.827753e-02 
 8.012306e-01  2.355047e-02 
 8.016345e-01  2.875638e-02 
 8.020383e-01  3.379250e-02 
 8.024422e-01  3.861152e-02 
 8.028460e-01  4.316465e-02 
 8.032499e-01  4.742430e-02 
 8.036537e-01  5.140177e-02 
 8.040576e-01  5.512998e-02 
 8.044614e-01  5.863790e-02 
 8.048653e-01  6.198230e-02 
 8.052691e-01  6.520881e-02 
 8.056729e-01  6.833246e-02 
 8.060768e-01  7.140586e-02 
 8.064806e-01  7.447016e-02 
 8.068845e-01  7.755197e-02 
 8.072883e-01  8.066465e-02 
 8.076922e-01  8.374850e-02 
 8.080960e-01  8.671322e-02 
 8.084999e-01  8.945116e-02 
 8.089037e-01  9.185639e-02 
 8.093076e-01  9.384868e-02 
 8.097114e-01  9.538346e-02 
 8.101153e-01  9.644216e-02 
 8.105191e-01  9.703105e-02 
 8.109229e-01  9.716380e-02 
 8.113268e-01  9.687715e-02 
 8.117306e-01  9.623099e-02 
 8.121345e-01  9.525814e-02 
 8.125383e-01  9.399312e-02 
 8.129422e-01  9.242847e-02 
 8.133460e-01  9.057642e-02 
 8.137499e-01  8.839543e-02 
 8.141537e-01  8.591997e-02 
 8.145576e-01  8.316283e-02 
 8.149614e-01  8.013533e-02 
 8.153652e-01  7.688871e-02 
 8.157691e-01  7.343662e-02 
 8.161729e-01  6.985633e-02 
 8.165768e-01  6.623541e-02 
 8.169806e-01  6.268427e-02 
 8.173845e-01  5.924942e-02 
 8.177883e-01  5.593466e-02 
 8.181922e-01  5.274813e-02 
 8.185960e-01  4.972283e-02 
 8.189999e-01  4.693433e-02 
 8.194037e-01  4.439660e-02 
 8.198076e-01  4.209399e-02 
 8.202114e-01  3.998800e-02 
 8.206152e-01  3.800896e-02 
 8.210191e-01  3.605760e-02 
 8.214229e-01  3.410137e-02 
 8.218268e-01  3.210924e-02 
 8.222306e-01  3.004899e-02 
 8.226345e-01  2.791151e-02 
 8.230383e-01  2.571963e-02 
 8.234422e-01  2.353591e-02 
 8.238460e-01  2.144835e-02 
 8.242499e-01  1.954918e-02 
 8.246537e-01  1.791871e-02 
 8.250576e-01  1.664371e-02 
 8.254614e-01  1.579412e-02 
 8.258652e-01  1.546431e-02 
 8.262691e-01  1.572014e-02 
 8.266729e-01  1.663458e-02 
 8.270768e-01  1.822954e-02 
 8.274806e-01  2.049833e-02 
 8.278845e-01  2.339601e-02 
 8.282883e-01  2.682922e-02 
 8.286922e-01  3.070265e-02 
 8.290960e-01  3.491360e-02 
 8.294999e-01  3.932937e-02 
 8.299037e-01  4.382445e-02 
 8.303076e-01  4.834035e-02 
 8.307114e-01  5.279240e-02 
 8.311152e-01  5.713624e-02 
 8.315191e-01  6.136146e-02 
 8.319229e-01  6.548683e-02 
 8.323268e-01  6.946964e-02 
 8.327306e-01  7.331045e-02 
 8.331345e-01  7.697143e-02 
 8.335383e-01  8.040693e-02 
 8.339422e-01  8.354980e-02 
 8.343460e-01  8.636567e-02 
 8.347499e-01  8.883147e-02 
 8.351537e-01  9.091184e-02 
 8.355576e-01  9.261348e-02 
 8.359614e-01  9.393642e-02 
 8.363652e-01  9.490717e-02 
 8.367691e-01  9.557135e-02 
 8.371729e-01  9.593408e-02 
 8.375768e-01  9.595376e-02 
 8.379806e-01  9.560609e-02 
 8.383845e-01  9.485737e-02 
 8.387883e-01  9.365549e-02 
 8.391922e-01  9.201030e-02 
 8.395960e-01  8.989301e-02 
 8.399999e-01  8.723321e-02 
 8.404037e-01  8.402260e-02 
 8.408076e-01  8.024332e-02 
 8.412114e-01  7.590293e-02 
 8.416152e-01  7.100142e-02 
 8.420191e-01  6.554378e-02 
 8.424229e-01  5.952301e-02 
 8.428268e-01  5.297805e-02 
 8.432306e-01  4.598971e-02 
 8.436345e-01  3.865822e-02 
 8.440383e-01  3.110072e-02 
 8.444422e-01  2.343961e-02 
 8.448460e-01  1.583876e-02 
 8.452499e-01  8.384477e-03 
 8.456537e-01  1.188311e-03 
 8.460576e-01 -5.660394e-03 
 8.464614e-01 -1.208859e-02 
 8.468652e-01 -1.805119e-02 
